short_name,long_name,Community District,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
med_r_1f,"Median sales price per unit, 1 family building (2018$)",BX 03 - Morrisania/Crotona,212165.487671233,217918.273650454,278631.846795206,275301.107178969,347395.80078125,382415.548895158,384362.075215224,403938.199524103,381652.725186825,276616.300643935,315830.501859971,280028.070225014,292504.275737565,279678.867201645,279708.357991008,330816.612807897,358461.242002544,416800.122895874,449950
med_r_1f,"Median sales price per unit, 1 family building (2018$)",BX 04 - Highbridge/Concourse,194922.356164384,302745.521111705,270931.683168317,293147.259352882,354744.558105469,331779.098779972,371963.298595378,446140.697981845,359776.021918552,358191.533832999,490375.705618108,291307.070663012,161594.528805802,511412.78574015,136699.573454252,265703.501715549,322095.608755909,496797.212498138,442500
med_r_1f,"Median sales price per unit, 1 family building (2018$)",BX 05 - Fordham/University Heights,267793.329315068,248704.714323891,292321.026576342,325104.322548028,332698.286132812,412648.56958157,452555.346624377,452169.626332951,435212.929740184,381426.609813153,355252.51054537,,394361.847993571,304929.873497565,283914.498712677,406956.944327175,415087.728058018,466225.076344406,385000
med_r_1f,"Median sales price per unit, 1 family building (2018$)",BX 06 - Belmont/East Tremont,256397.868493151,244975.240513095,243092.026766545,290518.756319515,347395.80078125,407180.895627645,421558.405074762,425039.448752974,353973.182855349,385233.83918083,332644.499800717,308590.933387965,292504.275737565,250379.176351949,320192.462437075,338955.75169444,322095.608755909,360241.67101147,387500
med_r_1f,"Median sales price per unit, 1 family building (2018$)",BX 07 - Kingsbridge Heights/Bedford,284886.520547945,281538.709246392,320840.151120375,358998.177451972,374118.5546875,418116.243535496,449220.075713638,477792.571825152,366292.029902622,332771.489496464,301970.314368274,343596.099136922,208544.71510919,357988.950018105,210307.036083465,420084.587692568,428594.963263911,433105.262177864,457000
med_r_1f,"Median sales price per unit, 1 family building (2018$)",BX 08 - Riverdale/Fieldston,521792.153424658,570390.112239444,606031.396560709,657125.758341759,828405.37109375,881260.390220969,727808.187584957,828977.648277078,783383.273532331,930142.531405046,695849.576939684,789822.762173116,853818.355854197,676556.497802074,856396.539311378,876401.471073619,789653.750498358,810161.608073886,787500
med_r_1f,"Median sales price per unit, 1 family building (2018$)",BX 09 - Parkchester/Soundview,281138.01369863,296895.366114377,318701.216779573,338938.549039434,387479.931640625,436770.660554772,477352.899864069,458198.554684058,414961.021409607,376043.337696611,366386.103776405,323661.635408004,291420.926568166,306314.949792277,345429.306767091,382014.421932929,392748.839063657,397437.76999851,405000
med_r_1f,"Median sales price per unit, 1 family building (2018$)",BX 10 - Throgs Neck/Co-op City,329868.602739726,358321.993586318,369322.662845232,448574.793983822,481009.5703125,529270.838740009,557944.947893068,542603.551599542,487438.481309006,462760.35258102,443071.567357513,413966.545628497,413568.545417835,399541.238859492,399583.368558583,429536.49091565,453011.888443795,468772.754357217,490000
med_r_1f,"Median sales price per unit, 1 family building (2018$)",BX 11 - Morris Park/Bronxdale,333842.02,345159.14484233,370748.619072434,415026.794742164,467648.193359375,514604.607428303,539966.721794291,536574.623248436,475832.803182601,462182.624300644,436539.101941345,450143.742077685,422506.176065371,417121.05336931,420614.072166929,441088.817077196,477335.30199533,473868.110382839,499999
med_r_1f,"Median sales price per unit, 1 family building (2018$)",BX 12 - Williamsbridge/Baychester,277389.506849315,299820.443613041,320840.151120375,345855.662285137,397500.964355469,450279.031499765,477352.899864069,488343.196439588,429410.090676981,367435.186319012,369510.326366746,345202.256194544,315417.110670341,340941.8571601,354367.355800638,369674.437169459,389631.784785374,397437.76999851,400000
med_r_1f,"Median sales price per unit, 1 family building (2018$)",BK 01 - Greenpoint/Williamsburg,354608.747945206,409510.849812934,388573.071912454,530058.3880182,581219.897460938,668985.989656794,737107.270049841,822948.719925972,638312.29695227,901256.117386256,769126.797694965,690404.512389088,807095.131201799,1113388.25228845,1093596.58763402,1719721.28086645,1454625.3298654,2420294.11217042,1840000
med_r_1f,"Median sales price per unit, 1 family building (2018$)",BK 02 - Fort Greene/Brooklyn Heights,884647.616438356,1301659.4869054,1017941.66808755,1200119.14812942,1292713.22021484,2373613.75176305,2707892.81377435,2290992.77342029,2982659.27848606,1303561.82725219,2536300.70288628,2355660.19627157,2985981.14815431,2690244.34165392,3761483.82336971,2782535.28772864,2207303.02398762,3821517.01921645,3647222
med_r_1f,"Median sales price per unit, 1 family building (2018$)",BK 03 - Bedford Stuyvesant,302879.353424658,292507.749866382,317525.515870245,388060.428753792,506396.186523438,543551.116596145,616219.198006344,542603.551599542,476529.143870185,358191.533832999,371498.468015146,345478.417999499,387297.328059924,460804.228817948,761837.238212351,992449.838423691,883165.378846848,917164.084611947,994500
med_r_1f,"Median sales price per unit, 1 family building (2018$)",BK 04 - Bushwick,253848.883835616,261443.426830572,285191.245440333,338938.549039434,434244.750976562,475713.364221909,526948.006343453,546600.731096325,430686.715270886,442391.96432809,275499.628421018,261249.067488031,350463.456300379,308978.558051341,709786.246781693,840169.175385135,1132529.72110949,881496.592432594,732500
med_r_1f,"Median sales price per unit, 1 family building (2018$)",BK 05 - East New York/Starrett City,165594.038575342,245706.509887761,213893.43408025,313483.572295248,358084.90234375,418116.243535496,458754.7349343,472909.139860756,418036.526113105,371190.420141455,327304.919373588,223044.843390468,270837.292349597,302585.898229589,349530.293970718,364948.485557918,407814.601408691,427839.721260986,435000
med_r_1f,"Median sales price per unit, 1 family building (2018$)",BK 06 - Park Slope/Carroll Gardens,637246.164383562,1358698.49812934,819924.830640959,1587477.48988878,1282692.1875,1543813.82228491,1565345.54825555,1742360.29346964,2089022.06275288,1666746.0888842,1634820.47545503,1876906.09120048,2117947.62617385,2024342.27688809,3036307.83345502,3981417.84317887,2792880.63334156,2679780.21313124,3300000
med_r_1f,"Median sales price per unit, 1 family building (2018$)",BK 07 - Sunset Park,359856.657534247,428523.853554249,467000.664408546,565819.863498483,688110.913085938,759685.051716032,762524.762120526,822948.719925972,812397.468848343,808819.592526127,758334.028746513,854996.948142646,614800.653633585,863009.075936503,1062050.5322215,1312764.33653927,1272797.16363222,1331926.06509757,1450000
med_r_1f,"Median sales price per unit, 1 family building (2018$)",BK 08 - Crown Heights/Prospect Heights,299880.547945205,343696.606092998,348289.808494007,410599.842264914,587900.5859375,566065.068171133,703630.573176258,868165.682559267,673129.331331484,740291.19709279,396492.248737877,458428.596226354,436048.040682851,599311.858289239,764991.843753603,1349521.73796237,1022913.3123232,978308.35691941,981500
med_r_1f,"Median sales price per unit, 1 family building (2018$)",BK 09 - South Crown Heights/Lefferts Gardens,335866.21369863,407317.041688936,367540.21756123,518783.493427705,601261.962890625,611092.97132111,790422.009515179,874194.610910373,638312.29695227,942852.553573314,698689.77929454,728514.841472965,798970.012431311,831045.776827744,972670.041886024,1318015.39388543,1441637.60370588,1268743.65037986,1400000
med_r_1f,"Median sales price per unit, 1 family building (2018$)",BK 10 - Bay Ridge/Dyker Heights,492553.8,541139.337252806,571808.447107869,664042.871587462,741556.420898438,809537.373060649,802138.853420933,793406.971005552,727676.018525587,716383.067665998,738452.612262522,730171.812302699,731260.689343912,761791.962092099,809682.088921339,900031.229131326,950701.554876312,993594.424996276,980000
med_r_1f,"Median sales price per unit, 1 family building (2018$)",BK 11 - Bensonhurst,394342.920547945,471303.111972207,486250.360497655,546451.946410516,620635.959472656,694716.220028209,639156.934753058,643889.547898123,641213.716483871,612391.977198353,641885.732197423,607555.970902397,630509.216589862,635536.930612499,715043.92268378,797110.505146647,862385.016991628,827995.354163563,850000
med_r_1f,"Median sales price per unit, 1 family building (2018$)",BK 12 - Borough Park,464814.849315069,511888.562266168,560400.797290255,608705.96562184,721514.35546875,789918.072402445,836917.421839601,892281.395963691,812397.468848343,751046.764488546,653246.541616846,718020.692884651,770261.259442254,734090.436197841,859630.009991162,918935.035577492,1036940.05657548,1120978.32563682,1247750
med_r_1f,"Median sales price per unit, 1 family building (2018$)",BK 13 - Coney Island,242924.235473973,255944.281133084,307293.566961959,356923.043478261,394160.620117188,506242.282557593,514549.229723607,466639.054375606,446238.323960268,449472.602132376,448751.972067225,402091.588015405,427922.921912363,404868.455377619,420614.072166929,469969.63248106,509118.865452889,527369.34865187,573000
med_r_1f,"Median sales price per unit, 1 family building (2018$)",BK 14 - Flatbush/Midwood,554779.01369863,555947.542089792,606031.396560709,781633.796764408,868489.501953125,900558.06299953,902010.999093793,904339.252665903,931935.953550313,745847.209965164,852060.706456756,845055.123164243,831470.487513263,873663.508972757,872774.199746378,987198.781077534,1037979.07466824,1222885.44614926,1242750
med_r_1f,"Median sales price per unit, 1 family building (2018$)",BK 15 - Sheepshead Bay,402589.635616438,460699.706039551,497658.723293382,587954.625884732,661722.193603516,714013.89280677,676849.21567739,629842.144840046,609298.101636257,590438.302544073,576561.078035738,595957.17509426,571466.68685765,612629.899584555,615148.080544134,708892.741731208,716922.484005088,805066.252048265,763000
