short_name,long_name,Community District,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
med_r_4f,"Median sales price per unit, 2-4 family building (2018$)",BK 09 - South Crown Heights/Lefferts Gardens,174680.419178082,182817.343666489,188939.200104221,205299.921132457,260807.397436523,289465.09167842,310196.726400846,331591.059310831,298606.747929585,229558.791598578,202601.101313051,246060.168215471,219017.090413374,229603.031931255,284966.033893095,409582.473000253,484875.109955132,502741.79452803,472500
med_r_4f,"Median sales price per unit, 2-4 family building (2018$)",BK 10 - Bay Ridge/Dyker Heights,254148.764383562,274226.015499733,306580.588848359,357614.754802831,397500.964355469,435162.521156559,417218.833257816,403938.199524103,403297.31489257,398632.513459305,397628.329679819,394911.381086558,392714.073906916,412859.280154809,457417.803481536,490973.861865688,528600.454692157,587664.394955062,565000
med_r_4f,"Median sales price per unit, 2-4 family building (2018$)",BK 11 - Bensonhurst,217413.397260274,241318.893639765,260237.011464304,302047.278395686,348509.248860677,369151.079092227,356464.827820571,356309.665550366,356874.602386951,354436.300010556,353699.866591382,357629.537417547,352088.480054476,368110.661402546,383810.340852323,446339.874423353,483922.676703434,501206.733602711,495000
med_r_4f,"Median sales price per unit, 2-4 family building (2018$)",BK 12 - Borough Park,232407.424657534,241318.893639765,264265.337806149,323605.614678126,367437.866210938,414899.964739069,426207.946307204,422024.984577421,387182.830814057,344711.207290897,369226.306131261,359010.346442326,379172.209289436,372905.15626886,432969.610536833,472857.714021446,555874.679627134,560489.162818412,625000
med_r_4f,"Median sales price per unit, 2-4 family building (2018$)",BK 13 - Coney Island,157437.287671233,186473.690539818,200792.461242835,230902.462959218,280588.916015625,335457.878467325,340036.448799275,319533.202608619,304649.050818129,278272.455047679,296295.590063272,234737.53421229,294670.974076362,291221.169657586,289172.174614764,316172.114010444,306510.337364494,326102.785639803,350000
med_r_4f,"Median sales price per unit, 2-4 family building (2018$)",BK 14 - Flatbush/Midwood,209916.383561644,234006.199893105,245620.960135487,284293.354398382,334034.423828125,363921.945815703,375062.99275034,390373.110734115,353973.182855349,367579.618389106,306741.854324432,303777.985451199,275712.36361189,319632.991087594,465304.317334666,448090.226872072,432924.205317082,503166.407530165,499500
med_r_4f,"Median sales price per unit, 2-4 family building (2018$)",BK 15 - Sheepshead Bay,224910.410958904,252287.934259754,270931.683168317,311270.096056623,350736.145019531,378877.642219088,373513.145672859,352089.415704592,348170.343792147,309341.141357542,321510.906569683,325870.929847649,310560.095227538,318745.121667906,341748.93363563,400655.675511786,431192.508495814,438200.618203486,440000
med_r_4f,"Median sales price per unit, 2-4 family building (2018$)",BK 16 - Brownsville,142443.260273973,135162.956084091,154184.606638006,187384.597826087,220128.685302734,234801.217254349,264507.234556714,271909.491777562,251982.580194488,223695.234704951,145418.36056862,143604.13857693,172433.076129243,159816.495543797,174905.351676081,223169.937211677,270144.704117859,281943.033417747,332500
med_r_4f,"Median sales price per unit, 2-4 family building (2018$)",BK 17 - East Flatbush,144942.264840183,162341.801175842,167549.856696196,179844.944388271,220462.719726562,256337.420075223,286411.739918441,292403.025028642,261127.75784411,216648.105140927,201654.367194766,173687.364530097,148960.510792278,196041.567867058,208743.929037774,235772.474842454,268413.007296591,275149.225383584,287500
med_r_4f,"Median sales price per unit, 2-4 family building (2018$)",BK 18 - Flatlands/Canarsie,190124.26739726,208249.429978621,223982.074387702,252474.63346815,287269.604492188,315195.322049835,340966.357045764,349677.844364149,304649.050818129,279250.741602449,269819.223711306,235197.803887216,239492.389715004,240790.186619321,261306.492333705,276730.722142479,296120.156436884,310816.717562938,312500
med_r_4f,"Median sales price per unit, 2-4 family building (2018$)",QN 01 - Astoria,208416.980821918,231568.635310885,249542.339760292,292363.319851702,340158.388264974,378663.223632659,409159.628454916,397909.271172997,377184.539108159,331103.299086879,340824.282582702,335076.323346171,338546.615436996,356923.50671448,386439.178803366,420084.587692568,501326.229757181,506223.621145539,525000
med_r_4f,"Median sales price per unit, 2-4 family building (2018$)",QN 02 - Woodside/Sunnyside,223450.992292237,248631.587386424,273308.27688032,328562.87917088,345030.558698527,402034.849553362,427757.793384685,384344.182383009,344301.784416679,340328.175403779,309582.056679288,314824.457649424,311011.490714787,324960.20760572,354893.123390847,367574.014230997,439634.530499497,473868.110382839,494583.333333333
med_r_4f,"Median sales price per unit, 2-4 family building (2018$)",QN 03 - Jackson Heights,204918.374429224,226693.506146446,256672.1208963,300894.426188069,339913.4296875,376304.619181946,412259.322609878,388865.878646338,329794.686758673,283086.857384144,274259.406726064,255909.939258888,267587.244841402,277015.258942581,331233.581831457,322502.438676482,379241.603857764,417819.194100998,425000
med_r_4f,"Median sales price per unit, 2-4 family building (2018$)",QN 04 - Elmhurst/Corona,191173.849315069,214505.683235347,231955.546291471,284466.282229525,317332.702636719,350896.016690174,378162.686905301,367764.629417467,342053.184279688,304311.342660544,296801.146082437,270638.568856522,269934.501375098,305515.867314558,333862.4197825,341318.727500211,363309.993102095,402533.126024132,436666.666666667
med_r_4f,"Median sales price per unit, 2-4 family building (2018$)",QN 05 - Ridgewood/Maspeth,183676.835616438,204755.424906467,226727.040125065,266308.859959555,320673.046875,339639.04090268,350265.439510648,339066.930466203,310451.889881331,283086.857384144,268967.163004849,258671.557308445,262712.173579109,271688.042424455,302316.36436998,341318.727500211,371448.968162056,395739.31798997,416666.666666667
med_r_4f,"Median sales price per unit, 2-4 family building (2018$)",QN 06 - Rego Park/Forest Hills,237655.334246575,249606.613219312,282695.822042731,330361.328614762,358418.936767578,385953.455571227,402960.240144993,452169.626332951,386469.081609283,373212.46912277,378651.233625614,350173.168683745,352088.480054476,366512.496447108,385562.899486352,438463.288404117,440076.11318892,498835.354908387,425000
med_r_4f,"Median sales price per unit, 2-4 family building (2018$)",QN 07 - Flushing/Whitestone,239904.438356164,281538.709246392,300876.763939552,356863.095163465,392108.757996419,418116.243535496,421558.405074762,429896.654879043,385249.711694136,363968.816636757,374906.710840973,356248.728392769,361838.622579062,384891.393434644,402650.346168133,430586.702384882,477428.813623678,501892.56852376,518333.333333333
med_r_4f,"Median sales price per unit, 2-4 family building (2018$)",QN 08 - Hillcrest/Fresh Meadows,224910.410958904,241684.528327098,278061.464304325,318187.209302326,352406.317138672,411683.685942642,409159.628454916,394291.914162334,334828.456218032,311973.271402935,309582.056679288,301741.015977846,316120.384839475,338278.248901037,346635.94338662,387528.032146394,386168.391142837,433076.72818412,450000
med_r_4f,"Median sales price per unit, 2-4 family building (2018$)",QN 09 - Kew Gardens/Woodhaven,183676.835616438,197442.731159808,217814.813705055,255933.190091001,288271.707763672,334300.018100611,363490.801238484,347748.587291795,278536.275033718,229038.065841866,213015.176614189,204138.806223205,216398.996587328,210336.265524031,257626.119202244,277255.827877095,296120.156436884,331198.141665425,335500
med_r_4f,"Median sales price per unit, 2-4 family building (2018$)",QN 10 - South Ozone Park/Howard Beach,183676.835616438,198905.26990914,221023.215216258,262850.303336704,290609.948730469,337709.273624824,362664.216130494,364750.165241914,294494.082457524,230513.583869946,235736.795453036,214342.156430901,215044.81012558,234397.526797569,253682.862275679,280931.568019405,292223.83858903,305721.361537316,320000
med_r_4f,"Median sales price per unit, 2-4 family building (2018$)",QN 11 - Bayside/Little Neck,271766.746575342,314445.83110636,335099.713392392,381824.651162791,443430.697631836,474079.494593324,458754.7349343,461213.018859611,446818.607866589,414038.600935994,413533.462867012,402091.588015405,404901.752062647,428685.641347685,454263.197940284,498850.447884924,502625.002373132,508006.995754506,570000
med_r_4f,"Median sales price per unit, 2-4 family building (2018$)",QN 12 - Jamaica/Hollis,163209.988219178,179160.996793159,187513.243877019,224806.180485339,257206.506347656,302973.462623413,344685.990031717,331591.059310831,277484.800595465,225314.029346564,204494.569549621,182266.791270719,184169.358797726,198039.274061355,220822.387887638,252050.752615541,267547.158885957,296804.488492477,301250
med_r_4f,"Median sales price per unit, 2-4 family building (2018$)",QN 13 - Queens Village,176179.821917808,190861.306787814,215545.404369463,242098.963599596,272238.055419922,318411.600846262,353675.103081106,349677.844364149,295364.508317005,248826.414901298,238576.997807892,211263.780791061,231958.599032812,224275.815413128,252368.443300158,270247.766742913,283132.430277372,321007.429614181,309000
med_r_4f,"Median sales price per unit, 2-4 family building (2018$)",QN 14 - Rockaway/Broad Channel,161185.794520548,188484.68132015,180490.409458051,220379.228008089,230661.458754883,273383.697696286,303770.027186226,287937.699245395,268816.519602854,213853.922312889,170412.141291351,185948.948670128,246461.936038133,254019.440972668,255383.983313799,272004.770530937,236376.616103127,270053.869357962,245000
med_r_4f,"Median sales price per unit, 2-4 family building (2018$)",SI 01 - St. George/Stapleton,144771.832728767,164535.60929984,174287.499869724,196706.445491658,229668.040378418,254086.024917725,265953.758495696,262258.383273112,232113.562528098,199802.415077589,202281.199854482,163948.058208662,199065.409876954,193644.320433901,200448.893767052,217918.879865519,236376.616103127,244351.619725719,253750
med_r_4f,"Median sales price per unit, 2-4 family building (2018$)",SI 02 - South Beach/Willowbrook,206167.876712329,230349.853019776,256672.1208963,276867.83332912,310652.014160156,347147.122125059,350265.439510648,322849.113201727,287240.533628521,275333.743861501,289700.640195297,255173.507779007,268128.919426101,253042.784611012,276027.984859547,288808.15403864,319498.063524007,346484.209742291,356000
med_r_4f,"Median sales price per unit, 2-4 family building (2018$)",SI 03 - Tottenville/Great Kills,247401.452054795,270569.668626403,295885.917144346,322571.967388777,357416.833496094,386381.863906911,393661.157680109,358721.236890808,336739.331121545,317750.554206693,320942.866098711,306539.603500755,314171.259125533,319632.991087594,320718.230027284,315063.440769426,341317.443471988,366865.633844779,380000
med_r_4f,"Median sales price per unit, 2-4 family building (2018$)",MN 01 - Financial District,,,,,,1366918.48848143,,,,,,,,,,7314722.88319683,6234108.55656598,,4250000
med_r_4f,"Median sales price per unit, 2-4 family building (2018$)",MN 02 - Greenwich Village/Soho,1611857.94520548,1261439.67129877,1283360.6044815,1434158.98308645,1636768.67675781,2002669.27561393,2107792.02537381,2042299.47893716,3307618.2660254,2792353.35514972,1107678.91839378,2948027.2679014,2076419.24134691,2663608.25906328,2996875.26418937,3339672.47215591,3145107.76678754,3622798.13421719,3935166.66666667
med_r_4f,"Median sales price per unit, 2-4 family building (2018$)",MN 03 - Lower East Side/Chinatown,337365.616438356,470449.964368431,761104.13626889,1245080.38422649,920153.492838542,1801116.12599906,805093.895181997,1710708.41962633,1237939.00014986,924365.248601288,710050.588713963,883717.775858032,1191684.08633823,1045479.55972363,1130400.31894862,1102722.04269299,2987177.01668787,,1137500
med_r_4f,"Median sales price per unit, 2-4 family building (2018$)",MN 04 - Clinton/Chelsea,705031.663242009,310789.48423303,1100658.89340412,968482.318313953,1082271.53320312,1286511.51857076,1522724.75362483,1688099.93830969,1655743.41270043,173751.780323023,894663.741779594,1767435.55171606,975014.252458549,872642.459140116,2319949.49179572,2231699.37211677,1545539.41298198,1399949.06803962,1656250
med_r_4f,"Median sales price per unit, 2-4 family building (2018$)",MN 05 - Midtown,,799216.487395332,,1152852.20761712,,,2262776.73312188,1220857.99109897,1204089.10561451,,,,2201907.18680222,1198623.71657848,,,,,
