short_name,long_name,Community District,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
med_r_ot,"Median sales price per unit, 5+ family building (2018$)",SI 03 - Tottenville/Great Kills,,,42778.68681605,97473.6541540276,133613.76953125,69686.0405892493,154984.707748074,,,,,109060.89947373,,,,118148.790288535,78186.111480265,127383.900640548,
med_r_ot,"Median sales price per unit, 5+ family building (2018$)",MN 01 - Financial District,846481.00124533,208934.107047415,293113.224480343,533605.878954211,489787.994970703,884476.669017395,255596.130984114,506429.981492906,232113.562528098,164607.076935213,577507.812154023,347717.027789637,473184.000191556,1066775.10775484,808071.629636015,806620.753451354,597817.617778687,1408299.79041495,732393.472900302
med_r_ot,"Median sales price per unit, 5+ family building (2018$)",MN 02 - Greenwich Village/Soho,330701.604261796,236356.708597389,281849.16053283,255933.190091001,313992.358398438,490570.233149549,359306.214129286,606660.915330043,545100.376842302,338325.559100986,681648.565165405,452344.539231024,419233.558782814,722979.384602891,1002244.46883526,927686.797821087,673000.355538373,747859.300306055,722318.84057971
med_r_ot,"Median sales price per unit, 5+ family building (2018$)",MN 03 - Lower East Side/Chinatown,90886.8737618546,136247.030858815,142595.622720167,138342.264914055,168640.990363227,208388.063685159,256061.691062036,335639.269379729,332344.419074322,228101.437124357,208281.506022763,269257.759831744,292504.275737565,390250.319574903,449531.289628406,455030.731006836,554142.982805865,482717.939269446,612500
med_r_ot,"Median sales price per unit, 5+ family building (2018$)",MN 04 - Clinton/Chelsea,110670.202217873,174379.620112651,184423.672051416,219179.163757684,200420.654296875,347358.110014104,252108.457936868,421509.691555959,349802.014362683,295530.2357307,239208.153886748,286935.150094014,428644.354655015,477229.813082171,628332.101177397,751364.529089831,466475.831229156,732457.428683152,398125
med_r_ot,"Median sales price per unit, 5+ family building (2018$)",MN 05 - Midtown,234281.678082192,376695.1366248,343036.873340807,382239.677957533,432654.110863095,536046.466071149,776626.667396944,689515.368890861,425541.531301513,416789.687985402,548128.46353112,647007.657324631,794456.057558818,822751.144497409,1182977.07796949,940978.061089294,826576.0005804,1156111.27250779,917398.992248062
med_r_ot,"Median sales price per unit, 5+ family building (2018$)",MN 06 - Stuyvesant Town/Turtle Bay,238030.184931507,272763.476750401,260274.355154025,293785.170907763,278745.967470366,385953.455571227,352184.297797053,489013.077367488,301022.276403627,154603.342635779,402362.000271246,639633.226708782,411672.684371387,427029.676093025,589845.515265342,615123.860549831,652354.931097797,577497.524528286,628968.253968254
med_r_ot,"Median sales price per unit, 5+ family building (2018$)",MN 07 - Upper West Side,262395.479452055,198439.916670716,254889.675612298,308387.96553758,309459.034075056,244437.188528444,435507.028772089,443549.504769396,324958.987539337,261903.487103698,428870.555583234,353176.428312638,304769.647415828,404020.943658826,473190.831187795,651131.11092348,568573.789649768,554119.967786385,526923.076923077
med_r_ot,"Median sales price per unit, 5+ family building (2018$)",MN 08 - Upper East Side,265072.984344423,231568.635310885,204846.53401656,284506.862627233,347753.69480678,318054.236535548,293437.713336354,315765.122389178,314544.612601967,194116.70220627,222846.646304075,368215.739940847,337041.963812832,570115.944384701,584186.211342957,606687.408671726,481411.716312595,733731.267689558,647058.823529412
med_r_ot,"Median sales price per unit, 5+ family building (2018$)",MN 09 - Morningside Heights/Hamilton,53195.7221998388,65814.2437199359,73278.3061200857,100792.22158024,114615.561676025,156281.514417166,152970.689627978,183200.471621406,122363.386404748,105258.974130795,100953.978345367,105493.809493053,145168.788699384,186230.752838615,215314.346466404,270559.287162572,295542.924163128,240846.560711094,305842.911877395
med_r_ot,"Median sales price per unit, 5+ family building (2018$)",MN 10 - Central Harlem,48389.8156911582,58041.3105067034,68186.6341370979,88326.215291281,97582.8123706055,130518.312806214,142376.394693511,165030.232562847,132636.321444627,115545.656075161,112472.013252292,105801.353321299,114809.282413456,183805.406014722,201106.103254813,277013.471384195,293879.773674368,223114.832031021,340000
med_r_ot,"Median sales price per unit, 5+ family building (2018$)",MN 11 - East Harlem,42920.4034246575,83573.6428189662,67471.4954837589,112162.912699416,139626.389160156,162824.114069111,209229.3554599,240648.74833721,183756.570334744,153097.994299588,195973.962485054,125193.351579888,144125.641427619,167363.385611143,299249.38676043,257407.74313437,307520.493843567,194830.916045205,245454.545454545
med_r_ot,"Median sales price per unit, 5+ family building (2018$)",MN 12 - Washington Heights/Inwood,52612.9711350294,63986.070283271,59641.1850583555,89161.5897371082,107169.377644857,114611.83965045,132106.827164352,151103.232228049,145070.976580061,81137.3027282747,116885.250757529,115221.499892366,123862.921701216,143533.836059408,176507.690998622,226545.616934206,277952.441820729,279693.135951888,239750
med_r_ot,"Median sales price per unit, 5+ family building (2018$)",BX 01 - Mott Haven/Melrose,37350.1222465753,52546.8234553715,42778.68681605,74566.4807886754,75872.2078789605,105160.829933172,107456.064038665,99477.3177932493,102381.47760176,106082.486100215,69427.1686742542,72383.4625620559,80089.4566834312,89502.5647210444,98844.3069592284,131276.433653927,156789.258847512,182360.11039068,183893.280632411
med_r_ot,"Median sales price per unit, 5+ family building (2018$)",BX 02 - Hunts Point/Longwood,42598.27564094,51384.7319519737,63858.0397399008,78272.5972540046,76048.5038248698,94261.6155875585,89891.1304938831,98728.7258563203,103161.583345821,68777.1762352149,67987.343869362,82848.5414866905,83977.0296337316,80451.8412941563,98003.0788148945,117515.041988136,159741.955925099,150855.168717194,189919.373737374
med_r_ot,"Median sales price per unit, 5+ family building (2018$)",BX 03 - Morrisania/Crotona,39859.9275105205,39376.0432512437,50621.4460656592,54645.1946410516,84761.2350463867,100508.71238834,90511.0693248754,79027.9091346167,78158.8821291903,78405.980908145,74697.9535937126,71802.0692884651,68341.2767695483,87792.5282187258,92721.2739359001,141778.548346242,169299.420543816,146173.025985029,167744.186046512
med_r_ot,"Median sales price per unit, 5+ family building (2018$)",BX 04 - Highbridge/Concourse,44758.2907380904,49940.3475381627,51250.1317667972,66865.4280417931,83791.6859772246,91893.6798979112,84979.8253973827,91783.6853451961,82805.5923463334,72958.828550316,71032.6179961815,97619.9868680385,87269.7942015368,92733.0282784995,100006.59141031,121965.86555657,157930.750099672,162124.964451607,177777.777777778
med_r_ot,"Median sales price per unit, 5+ family building (2018$)",BX 05 - Fordham/University Heights,44174.7601929841,52523.7130216419,59432.9693622797,70779.7634444,85473.5143324908,74433.8807173081,89734.2119306016,94323.5564608523,81973.3934032097,71691.6090781821,72913.2897416757,67225.673663486,76518.6461423208,91006.6155179955,109827.007732476,126867.472954602,153491.219094995,176517.690887617,134210.526315789
med_r_ot,"Median sales price per unit, 5+ family building (2018$)",BX 06 - Belmont/East Tremont,46371.9131928346,44028.510266346,64168.030224075,69171.1324570273,82369.9033848977,99078.3435228722,97499.4706924249,83984.3740072676,113735.645638768,79692.5186753684,79525.6659359639,77975.0978698264,82245.1441534208,92442.8748733727,111725.612919341,150967.898702016,143094.52763169,159229.875800685,190625
med_r_ot,"Median sales price per unit, 5+ family building (2018$)",BX 07 - Kingsbridge Heights/Bedford,52684.9598341355,59831.1306544872,71163.2150040036,73884.5243674004,88853.1567382812,97712.9528023659,94463.1793724513,103425.754937092,101903.515256238,73820.8358257973,70486.9103201233,87959.1110353334,87975.7604770907,106242.789804901,113242.250198789,132151.609878287,166789.746469529,186114.14361784,187962.962962963
med_r_ot,"Median sales price per unit, 5+ family building (2018$)",BX 08 - Riverdale/Fieldston,109456.4,62555.5855081953,71297.8113600834,100060.688921419,102710.867326812,98576.8566177593,94725.4891712456,106735.720478889,110432.491095099,104857.682888209,91792.6351543175,91698.6988501038,106265.358909898,102992.85268378,114186.497334623,165232.687298534,199683.287987953,199037.344750857,187500
med_r_ot,"Median sales price per unit, 5+ family building (2018$)",BX 09 - Parkchester/Soundview,51229.5936073059,62564.1576103094,65441.2054269337,85311.063363667,86718.8020329285,111497.664942799,99498.6962195319,105347.590135116,84039.3622223443,83076.6382585066,65101.8284527697,81743.894266868,80348.3967303805,86191.6313573811,109096.774968297,116573.473084687,129877.261595125,145557.337131933,147222.222222222
med_r_ot,"Median sales price per unit, 5+ family building (2018$)",BX 10 - Throgs Neck/Co-op City,71400.1304631442,95065.018706574,91532.8092508499,93451.6116052083,121365.840657552,123290.687196364,138453.00558828,124999.781146265,112381.649857354,71734.5948133291,90231.0440427282,94979.9350615273,117620.766963254,117579.278864365,122500.271868345,140028.195897523,123643.153038559,142982.616912597,189347.826086957
med_r_ot,"Median sales price per unit, 5+ family building (2018$)",BX 11 - Morris Park/Bronxdale,102709.087671233,64847.9357650832,80746.918889733,89515.5831796824,105760.697120127,130672.81281483,123114.612915372,112867.147038148,117346.301055872,122001.690683732,106731.814808794,114300.302606638,104599.833478968,119481.856192267,136081.023348124,141973.031951655,151696.641543106,151586.841762252,188541.666666667
med_r_ot,"Median sales price per unit, 5+ family building (2018$)",BX 12 - Williamsbridge/Baychester,76844.3904109589,63986.070283271,76873.4889379426,81852.5067408156,88439.5903087798,110632.680872548,118201.670442531,107175.496453616,100098.973840242,84554.6604635732,83522.9877687239,86662.2045075064,88799.1122457695,94963.4248883431,101307.625483725,115960.849727636,128861.661371685,142195.982110379,163333.333333333
med_r_ot,"Median sales price per unit, 5+ family building (2018$)",BK 01 - Greenpoint/Williamsburg,56227.602739726,63376.679137716,77536.3698540907,101335.709049545,125262.908935547,139800.918351356,154984.707748074,151728.030169501,174085.171896074,141864.192321464,142010.117742793,152349.262400525,189586.104644718,230846.049118818,315460.554125197,358822.251987401,454570.415582936,383850.153930185,349479.166666667
med_r_ot,"Median sales price per unit, 5+ family building (2018$)",BK 02 - Fort Greene/Brooklyn Heights,93712.6712328767,100547.710843132,142595.622720167,132053.980145234,132500.321451823,174023.656306669,179093.440064441,273694.20768513,214995.187291651,155542.229331947,137952.685807284,137007.542181202,215654.194033367,340561.34169452,392853.543403912,360072.503736486,532496.772540011,578322.908908089,425340.148520548
med_r_ot,"Median sales price per unit, 5+ family building (2018$)",BK 03 - Bedford Stuyvesant,45294.4577625571,53626.4208088366,67987.5558326509,80699.6545331985,95309.7558356585,114331.053406318,113913.760194835,119573.745630269,109424.965191818,83289.1604208452,98368.3661106723,93906.5204267891,104465.812763416,139839.433600822,199791.684279291,221534.007803034,300882.322695372,270053.869357962,307812.5
